"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Idaho,2019,41,60,1,2,5,1.67,3.33
States,Illinois,2019,41,261,5,2,2.68,1.92,0.77
States,Indiana,2019,41,183,1,0,0.55,0.55,0
States,Iowa,2019,41,235,4,0,1.7,1.7,0
States,Kansas,2019,41,84,0,0,0,0,0
States,Kentucky,2019,41,425,0,0,0,0,0
States,Louisiana,2019,41,608,4,20,3.95,0.66,3.29
States,Maine,2019,41,42,0,0,0,0,0
States,Maryland,2019,41,133,0,1,0.75,0,0.75
States,Massachusetts,2019,41,577,8,2,1.73,1.39,0.35
States,Michigan,2019,41,1087,1,0,0.09,0.09,0
States,Minnesota,2019,41,325,1,0,0.31,0.31,0
States,Mississippi,2019,41,59,0,0,0,0,0
States,Missouri,2019,41,865,3,0,0.35,0.35,0
States,Montana,2019,41,123,0,0,0,0,0
States,Nebraska,2019,41,59,0,0,0,0,0
States,Nevada,2019,41,15,0,1,6.67,0,6.67
States,New Hampshire,2019,41,X,X,X,X,X,X
States,New Jersey,2019,41,X,X,X,X,X,X
States,New Mexico,2019,41,252,0,0,0,0,0
States,New York,2019,41,1479,6,4,0.68,0.41,0.27
States,North Carolina,2019,41,242,1,1,0.83,0.41,0.41
States,North Dakota,2019,41,153,0,1,0.65,0,0.65
States,Ohio,2019,41,1457,2,3,0.34,0.14,0.21
States,Oklahoma,2019,41,249,0,0,0,0,0
States,Oregon,2019,41,1106,4,3,0.63,0.36,0.27
States,Pennsylvania,2019,41,247,0,0,0,0,0
States,Rhode Island,2019,41,X,X,X,X,X,X
States,South Carolina,2019,41,222,0,1,0.45,0,0.45
States,South Dakota,2019,41,57,0,0,0,0,0
States,Tennessee,2019,41,36,0,2,5.56,0,5.56
States,Texas,2019,41,2065,12,52,3.1,0.58,2.52
States,Utah,2019,41,374,3,1,1.07,0.8,0.27
States,Vermont,2019,41,88,0,0,0,0,0
States,Virginia,2019,41,237,0,0,0,0,0
States,Washington,2019,41,984,8,3,1.12,0.81,0.3
States,West Virginia,2019,41,336,0,1,0.3,0,0.3
States,Wisconsin,2019,41,806,4,0,0.5,0.5,0
States,Wyoming,2019,41,X,X,X,X,X,X
States,Puerto Rico,2019,41,0,0,0,0,0,0
States,Virgin Islands,2019,41,X,X,X,X,X,X
States,New York City,2019,41,X,X,X,X,X,X
States,Alabama,2019,42,527,1,5,1.14,0.19,0.95
States,Alaska,2019,42,X,X,X,X,X,X
States,Arizona,2019,42,249,2,3,2.01,0.8,1.2
States,Arkansas,2019,42,109,0,1,0.92,0,0.92
States,California,2019,42,1995,27,14,2.06,1.35,0.7
States,Colorado,2019,42,530,5,6,2.08,0.94,1.13
States,Connecticut,2019,42,473,3,0,0.63,0.63,0
States,Delaware,2019,42,211,6,1,3.32,2.84,0.47
States,District of Columbia,2019,42,X,X,X,X,X,X
States,Florida,2019,42,X,X,X,X,X,X
States,Georgia,2019,42,1020,11,14,2.45,1.08,1.37
States,Hawaii,2019,42,288,9,7,5.56,3.13,2.43
States,Idaho,2019,42,70,3,2,7.14,4.29,2.86
States,Illinois,2019,42,256,0,0,0,0,0
States,Indiana,2019,42,151,0,0,0,0,0
States,Iowa,2019,42,278,0,0,0,0,0
States,Kansas,2019,42,81,0,0,0,0,0
States,Kentucky,2019,42,469,2,0,0.43,0.43,0
States,Louisiana,2019,42,524,4,34,7.25,0.76,6.49
States,Maine,2019,42,44,0,0,0,0,0
States,Maryland,2019,42,181,1,1,1.1,0.55,0.55
States,Massachusetts,2019,42,540,2,0,0.37,0.37,0
States,Michigan,2019,42,1251,5,2,0.56,0.4,0.16
States,Minnesota,2019,42,375,2,1,0.8,0.53,0.27
States,Mississippi,2019,42,56,0,3,5.36,0,5.36
States,Missouri,2019,42,929,0,0,0,0,0
States,Montana,2019,42,109,0,1,0.92,0,0.92
States,Nebraska,2019,42,77,0,0,0,0,0
States,Nevada,2019,42,X,X,X,X,X,X
States,New Hampshire,2019,42,X,X,X,X,X,X
States,New Jersey,2019,42,X,X,X,X,X,X
States,New Mexico,2019,42,297,0,0,0,0,0
States,New York,2019,42,1559,4,2,0.38,0.26,0.13
States,North Carolina,2019,42,222,1,1,0.9,0.45,0.45
States,North Dakota,2019,42,162,0,5,3.09,0,3.09
States,Ohio,2019,42,1475,2,5,0.47,0.14,0.34
States,Oklahoma,2019,42,224,0,0,0,0,0
States,Oregon,2019,42,991,8,2,1.01,0.81,0.2
States,Pennsylvania,2019,42,292,0,0,0,0,0
States,Rhode Island,2019,42,X,X,X,X,X,X
States,South Carolina,2019,42,229,1,0,0.44,0.44,0
States,South Dakota,2019,42,61,0,0,0,0,0
States,Tennessee,2019,42,39,0,0,0,0,0
States,Texas,2019,42,2179,22,60,3.76,1.01,2.75
States,Utah,2019,42,467,5,1,1.28,1.07,0.21
States,Vermont,2019,42,94,0,0,0,0,0
States,Virginia,2019,42,283,1,0,0.35,0.35,0
States,Washington,2019,42,970,13,4,1.75,1.34,0.41
States,West Virginia,2019,42,422,1,0,0.24,0.24,0
States,Wisconsin,2019,42,896,4,1,0.56,0.45,0.11
States,Wyoming,2019,42,X,X,X,X,X,X
States,Puerto Rico,2019,42,0,0,0,0,0,0
States,Virgin Islands,2019,42,X,X,X,X,X,X
States,New York City,2019,42,X,X,X,X,X,X
States,Alabama,2019,43,529,0,16,3.02,0,3.02
States,Alaska,2019,43,X,X,X,X,X,X
States,Arizona,2019,43,265,2,4,2.26,0.75,1.51
States,Arkansas,2019,43,122,1,2,2.46,0.82,1.64
States,California,2019,43,1964,24,33,2.9,1.22,1.68
States,Colorado,2019,43,541,6,2,1.48,1.11,0.37
States,Connecticut,2019,43,560,5,0,0.89,0.89,0
States,Delaware,2019,43,211,1,5,2.84,0.47,2.37
States,District of Columbia,2019,43,X,X,X,X,X,X
States,Florida,2019,43,X,X,X,X,X,X
States,Georgia,2019,43,1139,16,34,4.39,1.4,2.99
States,Hawaii,2019,43,346,9,3,3.47,2.6,0.87
States,Idaho,2019,43,71,10,1,15.49,14.08,1.41
States,Illinois,2019,43,332,2,1,0.9,0.6,0.3
States,Indiana,2019,43,224,0,2,0.89,0,0.89
States,Iowa,2019,43,244,0,0,0,0,0
States,Kansas,2019,43,76,0,0,0,0,0
States,Kentucky,2019,43,518,0,1,0.19,0,0.19
States,Louisiana,2019,43,573,3,50,9.25,0.52,8.73
States,Maine,2019,43,57,0,0,0,0,0
States,Maryland,2019,43,231,0,2,0.87,0,0.87
States,Massachusetts,2019,43,588,4,3,1.19,0.68,0.51
States,Michigan,2019,43,1335,9,7,1.2,0.67,0.52
States,Minnesota,2019,43,312,1,1,0.64,0.32,0.32
States,Mississippi,2019,43,67,1,1,2.99,1.49,1.49
States,Missouri,2019,43,1037,2,0,0.19,0.19,0
States,Montana,2019,43,108,1,1,1.85,0.93,0.93
States,Nebraska,2019,43,97,1,0,1.03,1.03,0
States,Nevada,2019,43,34,1,2,8.82,2.94,5.88
States,New Hampshire,2019,43,X,X,X,X,X,X
States,New Jersey,2019,43,X,X,X,X,X,X
States,New Mexico,2019,43,X,X,X,X,X,X
States,New York,2019,43,1660,7,7,0.84,0.42,0.42
States,North Carolina,2019,43,217,3,0,1.38,1.38,0
States,North Dakota,2019,43,172,0,11,6.4,0,6.4
States,Ohio,2019,43,1756,3,5,0.46,0.17,0.28
States,Oklahoma,2019,43,192,0,0,0,0,0
States,Oregon,2019,43,1029,3,7,0.97,0.29,0.68
States,Pennsylvania,2019,43,300,1,0,0.33,0.33,0
States,Rhode Island,2019,43,X,X,X,X,X,X
States,South Carolina,2019,43,312,2,2,1.28,0.64,0.64
States,South Dakota,2019,43,70,0,0,0,0,0
States,Tennessee,2019,43,54,0,0,0,0,0
States,Texas,2019,43,2553,29,117,5.72,1.14,4.58
States,Utah,2019,43,448,5,1,1.34,1.12,0.22
States,Vermont,2019,43,75,0,0,0,0,0
States,Virginia,2019,43,297,1,0,0.34,0.34,0
States,Washington,2019,43,889,4,6,1.12,0.45,0.67
States,West Virginia,2019,43,461,1,2,0.65,0.22,0.43
States,Wisconsin,2019,43,1063,5,3,0.75,0.47,0.28
States,Wyoming,2019,43,X,X,X,X,X,X
States,Puerto Rico,2019,43,0,0,0,0,0,0
States,Virgin Islands,2019,43,X,X,X,X,X,X
States,New York City,2019,43,X,X,X,X,X,X
States,Alabama,2019,44,524,3,18,4.01,0.57,3.44
States,Alaska,2019,44,X,X,X,X,X,X
States,Arizona,2019,44,239,1,2,1.26,0.42,0.84
States,Arkansas,2019,44,136,1,2,2.21,0.74,1.47
States,California,2019,44,2061,44,56,4.85,2.13,2.72
States,Colorado,2019,44,511,7,6,2.54,1.37,1.17
States,Connecticut,2019,44,569,3,0,0.53,0.53,0
States,Delaware,2019,44,200,0,1,0.5,0,0.5
States,District of Columbia,2019,44,X,X,X,X,X,X
States,Florida,2019,44,X,X,X,X,X,X
States,Georgia,2019,44,1212,20,41,5.03,1.65,3.38
States,Hawaii,2019,44,335,4,4,2.39,1.19,1.19
States,Idaho,2019,44,95,3,2,5.26,3.16,2.11
States,Illinois,2019,44,317,3,2,1.58,0.95,0.63
States,Indiana,2019,44,215,0,1,0.47,0,0.47
States,Iowa,2019,44,205,1,0,0.49,0.49,0
States,Kansas,2019,44,79,0,0,0,0,0
States,Kentucky,2019,44,524,1,2,0.57,0.19,0.38
States,Louisiana,2019,44,653,6,70,11.64,0.92,10.72
States,Maine,2019,44,57,0,0,0,0,0
States,Maryland,2019,44,179,2,2,2.23,1.12,1.12
States,Massachusetts,2019,44,527,1,1,0.38,0.19,0.19
States,Michigan,2019,44,1287,3,3,0.47,0.23,0.23
States,Minnesota,2019,44,353,2,1,0.85,0.57,0.28
States,Mississippi,2019,44,85,0,0,0,0,0
States,Missouri,2019,44,1097,2,2,0.36,0.18,0.18
States,Montana,2019,44,110,0,0,0,0,0
States,Nebraska,2019,44,81,0,0,0,0,0
States,Nevada,2019,44,X,X,X,X,X,X
States,New Hampshire,2019,44,X,X,X,X,X,X
States,New Jersey,2019,44,X,X,X,X,X,X
States,New Mexico,2019,44,330,1,2,0.91,0.3,0.61
States,New York,2019,44,1684,15,5,1.19,0.89,0.3
States,North Carolina,2019,44,247,7,0,2.83,2.83,0
States,North Dakota,2019,44,161,0,12,7.45,0,7.45
States,Ohio,2019,44,1855,6,8,0.75,0.32,0.43
States,Oklahoma,2019,44,255,1,0,0.39,0.39,0
States,Oregon,2019,44,1046,10,15,2.39,0.96,1.43
States,Pennsylvania,2019,44,341,0,0,0,0,0
States,Rhode Island,2019,44,X,X,X,X,X,X
States,South Carolina,2019,44,354,0,2,0.56,0,0.56
States,South Dakota,2019,44,64,0,0,0,0,0
States,Tennessee,2019,44,56,1,0,1.79,1.79,0
States,Texas,2019,44,2482,34,250,11.44,1.37,10.07
States,Utah,2019,44,450,4,1,1.11,0.89,0.22
States,Vermont,2019,44,95,0,1,1.05,0,1.05
States,Virginia,2019,44,291,1,1,0.69,0.34,0.34
States,Washington,2019,44,937,5,10,1.6,0.53,1.07
States,West Virginia,2019,44,494,1,1,0.4,0.2,0.2
States,Wisconsin,2019,44,1087,4,4,0.74,0.37,0.37
States,Wyoming,2019,44,X,X,X,X,X,X
States,Puerto Rico,2019,44,0,0,0,0,0,0
States,Virgin Islands,2019,44,X,X,X,X,X,X
States,New York City,2019,44,X,X,X,X,X,X
States,Alabama,2019,45,635,4,15,2.99,0.63,2.36
States,Alaska,2019,45,X,X,X,X,X,X
States,Arizona,2019,45,223,2,4,2.69,0.9,1.79
States,Arkansas,2019,45,163,1,3,2.45,0.61,1.84
States,California,2019,45,2603,125,135,9.99,4.8,5.19
States,Colorado,2019,45,573,15,9,4.19,2.62,1.57
States,Connecticut,2019,45,583,4,1,0.86,0.69,0.17
States,Delaware,2019,45,250,2,7,3.6,0.8,2.8
States,District of Columbia,2019,45,X,X,X,X,X,X
States,Florida,2019,45,X,X,X,X,X,X
States,Georgia,2019,45,1398,25,49,5.29,1.79,3.51
States,Hawaii,2019,45,449,14,5,4.23,3.12,1.11
States,Idaho,2019,45,62,0,2,3.23,0,3.23
States,Illinois,2019,45,323,3,2,1.55,0.93,0.62
States,Indiana,2019,45,234,3,3,2.56,1.28,1.28
States,Iowa,2019,45,246,2,1,1.22,0.81,0.41
States,Kansas,2019,45,85,0,0,0,0,0
States,Kentucky,2019,45,641,6,2,1.25,0.94,0.31
States,Louisiana,2019,45,796,11,114,15.7,1.38,14.32
States,Maine,2019,45,72,0,1,1.39,0,1.39
States,Maryland,2019,45,193,2,3,2.59,1.04,1.55
States,Massachusetts,2019,45,570,1,1,0.35,0.18,0.18
States,Michigan,2019,45,1430,10,3,0.91,0.7,0.21
States,Minnesota,2019,45,342,1,0,0.29,0.29,0
States,Mississippi,2019,45,110,0,1,0.91,0,0.91
States,Missouri,2019,45,616,2,0,0.32,0.32,0
States,Montana,2019,45,122,0,0,0,0,0
States,Nebraska,2019,45,112,3,0,2.68,2.68,0
States,Nevada,2019,45,64,0,23,35.94,0,35.94
States,New Hampshire,2019,45,X,X,X,X,X,X
States,New Jersey,2019,45,X,X,X,X,X,X
States,New Mexico,2019,45,361,7,0,1.94,1.94,0
States,New York,2019,45,1933,19,10,1.5,0.98,0.52
States,North Carolina,2019,45,266,0,2,0.75,0,0.75
States,North Dakota,2019,45,224,1,41,18.75,0.45,18.3
States,Ohio,2019,45,2152,8,6,0.65,0.37,0.28
States,Oklahoma,2019,45,264,1,1,0.76,0.38,0.38
States,Oregon,2019,45,1132,8,34,3.71,0.71,3
States,Pennsylvania,2019,45,351,1,2,0.85,0.28,0.57
States,Rhode Island,2019,45,X,X,X,X,X,X
States,South Carolina,2019,45,367,1,3,1.09,0.27,0.82
States,South Dakota,2019,45,57,0,0,0,0,0
States,Tennessee,2019,45,50,1,0,2,2,0
States,Texas,2019,45,3435,70,505,16.74,2.04,14.7
States,Utah,2019,45,532,9,5,2.63,1.69,0.94
States,Vermont,2019,45,107,0,1,0.93,0,0.93
States,Virginia,2019,45,364,2,2,1.1,0.55,0.55
States,Washington,2019,45,961,4,14,1.87,0.42,1.46
States,West Virginia,2019,45,559,0,0,0,0,0
States,Wisconsin,2019,45,1136,6,2,0.7,0.53,0.18
States,Wyoming,2019,45,X,X,X,X,X,X
States,Puerto Rico,2019,45,0,0,0,0,0,0
States,Virgin Islands,2019,45,X,X,X,X,X,X
States,New York City,2019,45,X,X,X,X,X,X
States,Alabama,2019,46,739,5,26,4.19,0.68,3.52
States,Alaska,2019,46,X,X,X,X,X,X
States,Arizona,2019,46,402,3,18,5.22,0.75,4.48
States,Arkansas,2019,46,175,0,3,1.71,0,1.71
States,California,2019,46,2887,126,247,12.92,4.36,8.56
States,Colorado,2019,46,670,14,24,5.67,2.09,3.58
States,Connecticut,2019,46,678,5,1,0.88,0.74,0.15
States,Delaware,2019,46,280,5,10,5.36,1.79,3.57
States,District of Columbia,2019,46,X,X,X,X,X,X
States,Florida,2019,46,X,X,X,X,X,X
States,Georgia,2019,46,1817,38,110,8.15,2.09,6.05
States,Hawaii,2019,46,425,15,8,5.41,3.53,1.88
States,Idaho,2019,46,71,1,5,8.45,1.41,7.04
States,Illinois,2019,46,363,4,3,1.93,1.1,0.83
States,Indiana,2019,46,230,6,1,3.04,2.61,0.43
States,Iowa,2019,46,277,4,0,1.44,1.44,0
States,Kansas,2019,46,62,0,0,0,0,0
States,Kentucky,2019,46,620,26,1,4.35,4.19,0.16
States,Louisiana,2019,46,942,7,180,19.85,0.74,19.11
States,Maine,2019,46,73,0,1,1.37,0,1.37
States,Maryland,2019,46,219,0,0,0,0,0
States,Massachusetts,2019,46,694,1,3,0.58,0.14,0.43
States,Michigan,2019,46,1467,12,17,1.98,0.82,1.16
States,Minnesota,2019,46,361,4,1,1.39,1.11,0.28
States,Mississippi,2019,46,93,0,3,3.23,0,3.23
States,Missouri,2019,46,616,4,8,1.95,0.65,1.3
States,Montana,2019,46,105,3,2,4.76,2.86,1.9
States,Nebraska,2019,46,130,12,4,12.31,9.23,3.08
States,Nevada,2019,46,72,21,1,30.56,29.17,1.39
States,New Hampshire,2019,46,X,X,X,X,X,X
States,New Jersey,2019,46,X,X,X,X,X,X
States,New Mexico,2019,46,341,6,11,4.99,1.76,3.23
States,New York,2019,46,1858,22,19,2.21,1.18,1.02
States,North Carolina,2019,46,264,4,2,2.27,1.52,0.76
States,North Dakota,2019,46,241,2,40,17.43,0.83,16.6
States,Ohio,2019,46,2099,14,11,1.19,0.67,0.52
States,Oklahoma,2019,46,278,2,2,1.44,0.72,0.72
States,Oregon,2019,46,1221,14,81,7.78,1.15,6.63
States,Pennsylvania,2019,46,427,2,2,0.94,0.47,0.47
States,Rhode Island,2019,46,X,X,X,X,X,X
States,South Carolina,2019,46,364,5,3,2.2,1.37,0.82
States,South Dakota,2019,46,80,0,0,0,0,0
States,Tennessee,2019,46,74,3,0,4.05,4.05,0
States,Texas,2019,46,3956,99,579,17.14,2.5,14.64
States,Utah,2019,46,535,3,12,2.8,0.56,2.24
States,Vermont,2019,46,107,1,0,0.93,0.93,0
States,Virginia,2019,46,406,0,1,0.25,0,0.25
States,Washington,2019,46,1024,10,38,4.69,0.98,3.71
States,West Virginia,2019,46,569,0,0,0,0,0
States,Wisconsin,2019,46,1161,6,16,1.89,0.52,1.38
States,Wyoming,2019,46,10,0,1,10,0,10
States,Puerto Rico,2019,46,0,0,0,0,0,0
States,Virgin Islands,2019,46,X,X,X,X,X,X
States,New York City,2019,46,X,X,X,X,X,X
States,Alabama,2019,47,868,15,70,9.79,1.73,8.06
States,Alaska,2019,47,11,2,1,27.27,18.18,9.09
States,Arizona,2019,47,395,4,29,8.35,1.01,7.34
States,Arkansas,2019,47,224,1,9,4.46,0.45,4.02
States,California,2019,47,3091,133,298,13.94,4.3,9.64
States,Colorado,2019,47,706,9,46,7.79,1.27,6.52
States,Connecticut,2019,47,699,6,1,1,0.86,0.14
States,Delaware,2019,47,267,1,15,5.99,0.37,5.62
States,District of Columbia,2019,47,X,X,X,X,X,X
States,Florida,2019,47,X,X,X,X,X,X
States,Georgia,2019,47,2082,76,247,15.51,3.65,11.86
States,Hawaii,2019,47,382,6,7,3.4,1.57,1.83
States,Idaho,2019,47,82,0,4,4.88,0,4.88
States,Illinois,2019,47,378,12,6,4.76,3.17,1.59
States,Indiana,2019,47,309,8,3,3.56,2.59,0.97
States,Iowa,2019,47,291,3,1,1.37,1.03,0.34
States,Kansas,2019,47,113,0,1,0.88,0,0.88
States,Kentucky,2019,47,780,32,3,4.49,4.1,0.38
States,Louisiana,2019,47,1132,15,283,26.33,1.33,25
States,Maine,2019,47,75,0,0,0,0,0
States,Maryland,2019,47,224,6,0,2.68,2.68,0
States,Massachusetts,2019,47,751,11,5,2.13,1.46,0.67
States,Michigan,2019,47,1552,25,29,3.48,1.61,1.87
States,Minnesota,2019,47,365,3,4,1.92,0.82,1.1
States,Mississippi,2019,47,103,2,3,4.85,1.94,2.91
States,Missouri,2019,47,1503,16,20,2.4,1.06,1.33
States,Montana,2019,47,132,0,1,0.76,0,0.76
States,Nebraska,2019,47,165,43,0,26.06,26.06,0
States,Nevada,2019,47,98,33,6,39.8,33.67,6.12
States,New Hampshire,2019,47,X,X,X,X,X,X
States,New Jersey,2019,47,X,X,X,X,X,X
States,New Mexico,2019,47,423,14,13,6.38,3.31,3.07
States,New York,2019,47,2018,37,29,3.27,1.83,1.44
States,North Carolina,2019,47,312,9,5,4.49,2.88,1.6
States,North Dakota,2019,47,307,3,54,18.57,0.98,17.59
States,Ohio,2019,47,2482,31,30,2.46,1.25,1.21
States,Oklahoma,2019,47,310,0,7,2.26,0,2.26
States,Oregon,2019,47,1335,20,114,10.04,1.5,8.54
States,Pennsylvania,2019,47,427,1,2,0.7,0.23,0.47
States,Rhode Island,2019,47,X,X,X,X,X,X
States,South Carolina,2019,47,414,7,4,2.66,1.69,0.97
States,South Dakota,2019,47,85,0,0,0,0,0
States,Tennessee,2019,47,80,5,4,11.25,6.25,5
States,Texas,2019,47,5252,186,999,22.56,3.54,19.02
States,Utah,2019,47,642,16,17,5.14,2.49,2.65
States,Vermont,2019,47,124,1,1,1.61,0.81,0.81
States,Virginia,2019,47,412,2,1,0.73,0.49,0.24
States,Washington,2019,47,1088,9,52,5.61,0.83,4.78
States,West Virginia,2019,47,554,0,1,0.18,0,0.18
States,Wisconsin,2019,47,1336,20,44,4.79,1.5,3.29
States,Wyoming,2019,47,X,X,X,X,X,X
States,Puerto Rico,2019,47,0,0,0,0,0,0
States,Virgin Islands,2019,47,X,X,X,X,X,X
States,New York City,2019,47,X,X,X,X,X,X
States,Alabama,2019,48,849,28,74,12.01,3.3,8.72
States,Alaska,2019,48,16,0,1,6.25,0,6.25
States,Arizona,2019,48,385,1,52,13.77,0.26,13.51
States,Arkansas,2019,48,230,4,8,5.22,1.74,3.48
States,California,2019,48,2819,150,317,16.57,5.32,11.25
States,Colorado,2019,48,737,13,88,13.7,1.76,11.94
States,Connecticut,2019,48,709,14,7,2.96,1.97,0.99
States,Delaware,2019,48,379,6,7,3.43,1.58,1.85
States,District of Columbia,2019,48,X,X,X,X,X,X
States,Florida,2019,48,X,X,X,X,X,X
States,Georgia,2019,48,2004,101,265,18.26,5.04,13.22
States,Hawaii,2019,48,404,19,3,5.45,4.7,0.74
States,Idaho,2019,48,90,1,11,13.33,1.11,12.22
States,Illinois,2019,48,415,9,8,4.1,2.17,1.93
States,Indiana,2019,48,251,7,9,6.37,2.79,3.59
States,Iowa,2019,48,215,1,0,0.47,0.47,0
States,Kansas,2019,48,87,0,2,2.3,0,2.3
States,Kentucky,2019,48,635,31,7,5.98,4.88,1.1
States,Louisiana,2019,48,878,11,195,23.46,1.25,22.21
States,Maine,2019,48,62,0,0,0,0,0
States,Maryland,2019,48,204,6,7,6.37,2.94,3.43
States,Massachusetts,2019,48,724,27,12,5.39,3.73,1.66
States,Michigan,2019,48,1636,43,69,6.85,2.63,4.22
States,Minnesota,2019,48,339,12,6,5.31,3.54,1.77
States,Mississippi,2019,48,106,0,11,10.38,0,10.38
States,Missouri,2019,48,1542,11,50,3.96,0.71,3.24
States,Montana,2019,48,123,0,8,6.5,0,6.5
States,Nebraska,2019,48,228,47,0,20.61,20.61,0
States,Nevada,2019,48,X,X,X,X,X,X
States,New Hampshire,2019,48,X,X,X,X,X,X
States,New Jersey,2019,48,X,X,X,X,X,X
States,New Mexico,2019,48,331,20,12,9.67,6.04,3.63
States,New York,2019,48,2021,58,54,5.54,2.87,2.67
States,North Carolina,2019,48,392,12,15,6.89,3.06,3.83
States,North Dakota,2019,48,249,2,52,21.69,0.8,20.88
States,Ohio,2019,48,2579,34,60,3.64,1.32,2.33
States,Oklahoma,2019,48,313,2,10,3.83,0.64,3.19
States,Oregon,2019,48,1492,20,216,15.82,1.34,14.48
States,Pennsylvania,2019,48,433,5,4,2.08,1.15,0.92
States,Rhode Island,2019,48,X,X,X,X,X,X
States,South Carolina,2019,48,378,12,5,4.5,3.17,1.32
States,South Dakota,2019,48,60,1,0,1.67,1.67,0
States,Tennessee,2019,48,109,10,5,13.76,9.17,4.59
States,Texas,2019,48,4329,193,762,22.06,4.46,17.6
States,Utah,2019,48,729,21,40,8.37,2.88,5.49
States,Vermont,2019,48,129,4,0,3.1,3.1,0
States,Virginia,2019,48,448,6,20,5.8,1.34,4.46
States,Washington,2019,48,1263,15,95,8.71,1.19,7.52
States,West Virginia,2019,48,512,0,4,0.78,0,0.78
States,Wisconsin,2019,48,1365,9,66,5.49,0.66,4.84
